,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,5181.756733097809,4850.97425595282,5512.539210242798
1,2026-01-01,5235.687114807711,4803.820021731423,5667.554207883998
2,2026-02-01,5216.890002276429,4726.653341289087,5707.126663263772
3,2026-03-01,5214.310544250776,4686.085418323579,5742.535670177973
4,2026-04-01,5251.154196146767,4696.883906739779,5805.424485553755
5,2026-05-01,5299.2317279882345,4726.445779464394,5872.017676512075
6,2026-06-01,5342.600753354545,4756.246158558853,5928.955348150238
7,2026-07-01,5403.444038946871,4806.853251515948,6000.034826377794
8,2026-08-01,5326.397524034453,4721.84703332764,5930.948014741267
9,2026-09-01,5385.4853446564375,4774.5372010270075,5996.4334882858675
10,2026-10-01,5347.090001250118,4730.810053911886,5963.36994858835
11,2026-11-01,5350.785077679159,4729.8886988934755,5971.681456464843
