,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4049.9499033133056,3832.797464400178,4267.102342226433
1,2026-01-01,4047.880396313479,3774.682612240021,4321.078180386937
2,2026-02-01,4034.8816725341803,3693.66468356724,4376.098661501121
3,2026-03-01,4031.78709438546,3649.1760396703808,4414.398149100539
4,2026-04-01,4097.29437866213,3666.680965995249,4527.907791329011
5,2026-05-01,4201.939076089352,3735.800894691594,4668.077257487111
6,2026-06-01,4208.657551730479,3704.006809868053,4713.308293592905
7,2026-07-01,4291.412265170027,3755.010890593684,4827.81363974637
8,2026-08-01,4279.062707562211,3709.7581358030293,4848.367279321392
9,2026-09-01,4239.4818629589845,3641.216430510372,4837.7472954075965
10,2026-10-01,4338.852601630069,3711.4217865048986,4966.28341675524
11,2026-11-01,4291.603040979073,3637.40174228868,4945.804339669466
