,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3159.2251152442896,2993.097000545726,3325.353229942853
1,2026-01-01,3150.437392920858,2930.898111611843,3369.9766742298734
2,2026-02-01,3177.1065965999733,2921.380518716946,3432.8326744830006
3,2026-03-01,3052.0863632927885,2767.7172984587028,3336.4554281268743
4,2026-04-01,3095.145537251085,2786.2299119565396,3404.0611625456304
5,2026-05-01,3080.8656213796758,2749.946528008784,3411.7847147505677
6,2026-06-01,3168.841397948941,2817.6656008470272,3520.0171950508548
7,2026-07-01,3279.253967108189,2909.1196932339017,3649.3882409824764
8,2026-08-01,3316.4536097101477,2928.3853844797527,3704.5218349405427
9,2026-09-01,3389.6862949640004,2984.529125445449,3794.8434644825516
10,2026-10-01,3405.7800022769634,2984.253295654531,3827.3067088993957
11,2026-11-01,3397.0935938167445,2959.823860196466,3834.363327437023
