,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4591.284012376881,4155.580232543309,5026.987792210453
1,2026-01-01,4612.155296600556,4109.849298547382,5114.461294653729
2,2026-02-01,4662.110639145405,4131.084623095464,5193.136655195346
3,2026-03-01,4631.247450886305,4082.29468127276,5180.20022049985
4,2026-04-01,4648.758871535015,4085.7575160935667,5211.760226976463
5,2026-05-01,4814.575893716209,4239.14607156942,5390.005715862998
6,2026-06-01,4775.917614086283,4188.835382124807,5362.999846047758
7,2026-07-01,4892.429380305438,4294.128053289345,5490.730707321531
8,2026-08-01,4849.178369667602,4239.939885862041,5458.416853473163
9,2026-09-01,4786.099360812706,4166.125578579999,5406.073143045414
10,2026-10-01,4768.0984253162615,4137.5287461600665,5398.668104472456
11,2026-11-01,4776.390773514442,4135.2930902817125,5417.488456747172
