,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4452.451492335756,4299.240147589726,4605.662837081785
1,2026-01-01,4458.280559608476,4203.949629569205,4712.6114896477475
2,2026-02-01,4448.521005410582,4096.348869414991,4800.693141406173
3,2026-03-01,4415.074488057103,3966.0364957021966,4864.112480412009
4,2026-04-01,4427.011338422655,3882.564374005141,4971.458302840169
5,2026-05-01,4430.489179844136,3792.5926413681786,5068.3857183200935
6,2026-06-01,4427.3201844932355,3698.3029382985696,5156.337430687901
7,2026-07-01,4425.474381760619,3607.9029899401157,5243.0457735811215
8,2026-08-01,4406.166782721716,3502.7417579764306,5309.591807467002
9,2026-09-01,4384.063068211661,3397.5436052430637,5370.582531180258
10,2026-10-01,4317.554951191377,3250.707430377999,5384.402472004755
11,2026-11-01,4332.150467900952,3187.715907488432,5476.585028313472
