,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4571.984411658582,4475.631987781886,4668.336835535278
1,2026-01-01,4586.710891735818,4418.3100207278585,4755.111762743778
2,2026-02-01,4612.93415933793,4370.794696085464,4855.073622590397
3,2026-03-01,4614.609289116968,4296.769846823573,4932.4487314103635
4,2026-04-01,4656.635797607081,4262.111441278933,5051.16015393523
5,2026-05-01,4669.201068725031,4197.792308658458,5140.609828791605
6,2026-06-01,4672.766603160589,4124.865241545116,5220.667964776061
7,2026-07-01,4662.022250401969,4038.456440817721,5285.588059986218
8,2026-08-01,4640.548969090814,3942.465504549277,5338.632433632351
9,2026-09-01,4622.690908718338,3851.467172645297,5393.914644791378
10,2026-10-01,4588.934982126817,3746.1137797036836,5431.75618454995
11,2026-11-01,4576.1444978966265,3663.386590114983,5488.90240567827
