,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4799.059921151685,4652.462099883918,4945.657742419451
1,2026-01-01,4832.57342292884,4597.785504000908,5067.361341856772
2,2026-02-01,4819.304169992772,4502.142653838267,5136.465686147277
3,2026-03-01,4848.385465273455,4451.0674000296285,5245.703530517282
4,2026-04-01,4894.398397214025,4418.883861052571,5369.912933375479
5,2026-05-01,4904.1029471417705,4352.424650917287,5455.781243366254
6,2026-06-01,4889.834381366878,4264.13312208169,5515.535640652066
7,2026-07-01,4956.547139201147,4259.040836832586,5654.0534415697075
8,2026-08-01,4953.297419235473,4186.240663184452,5720.354175286494
9,2026-09-01,5011.922887969136,4177.572293865265,5846.2734820730075
10,2026-10-01,5003.1181696846825,4103.706943448491,5902.529395920874
11,2026-11-01,4994.929754735403,4032.651347307292,5957.208162163513
