,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3139.780877869408,2856.999789469851,3422.561966268965
1,2026-01-01,3118.888588782991,2719.0130073140654,3518.7641702519168
2,2026-02-01,3099.309633678983,2610.8183219945954,3587.800945363371
3,2026-03-01,3055.5212008669378,2492.189851425798,3618.8525503080773
4,2026-04-01,3092.8361934241952,2463.498912531815,3722.1734743165753
5,2026-05-01,3131.624036451471,2442.578364626872,3820.66970827607
6,2026-06-01,3152.5505303870364,2408.5699764343663,3896.5310843397065
7,2026-07-01,3190.101532031044,2394.97533673463,3985.2277273274576
8,2026-08-01,3202.059886269253,2358.8821373889045,4045.237635149602
9,2026-09-01,3254.817820927464,2366.185503811709,4143.450138043218
10,2026-10-01,3290.982548269909,2359.10789588241,4222.857200657408
11,2026-11-01,3354.8593504431065,2381.664034184119,4328.054666702094
