,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2964.221993699968,2805.5540458536752,3122.889941546261
1,2026-01-01,3015.6245165375976,2791.2400768916086,3240.0089561835866
2,2026-02-01,3040.1047724166224,2766.0041643129034,3314.2053805203414
3,2026-03-01,3079.826428493688,2763.734986374651,3395.9178706127254
4,2026-04-01,3108.763420689043,2755.639413154624,3461.887428223462
5,2026-05-01,3206.4451999042476,2819.8197703131086,3593.0706294953866
6,2026-06-01,3217.6873267427222,2800.2403408492883,3635.134312636156
7,2026-07-01,3270.6475758127413,2824.503377338565,3716.7917742869176
8,2026-08-01,3239.296575233383,2766.192561970061,3712.400588496705
9,2026-09-01,3209.8179699144766,2711.2098383544403,3708.426101474513
10,2026-10-01,3177.715141269077,2654.845340362374,3700.58494217578
11,2026-11-01,3128.24949023458,2582.195013205586,3674.3039672635746
