,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3874.542715771231,3792.744699137385,3956.3407324050772
1,2026-01-01,3899.218491193837,3761.748747506938,4036.688234880736
2,2026-02-01,3917.4058208290644,3725.4675521254617,4109.344089532667
3,2026-03-01,3931.404892923068,3685.2377173444556,4177.57206850168
4,2026-04-01,4032.858654970992,3733.0985861266845,4332.6187238153
5,2026-05-01,4084.215906239011,3731.8483294665043,4436.583483011518
6,2026-06-01,4121.782500086954,3718.0407738997205,4525.524226274189
7,2026-07-01,4144.83902698002,3691.1162330899165,4598.5618208701235
8,2026-08-01,4129.050069546185,3626.8323263378857,4631.267812754485
9,2026-09-01,4087.0782732607604,3537.8971389902854,4636.259407531235
10,2026-10-01,4024.3377305867925,3429.7377638517137,4618.937697321871
11,2026-11-01,3975.4870656991066,3337.0051583075774,4613.968973090636
