,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2782.529284140209,2550.9546615358877,3014.10390674453
1,2026-01-01,2777.001969550505,2498.805317898607,3055.1986212024026
2,2026-02-01,2755.5209225340636,2438.336420105691,3072.705424962436
3,2026-03-01,2746.6511541207883,2394.777855589512,3098.5244526520646
4,2026-04-01,2749.046027492557,2365.6094880011815,3132.482566983933
5,2026-05-01,2747.662110826359,2335.0698898603023,3160.2543317924155
6,2026-06-01,2722.217202968319,2282.3978061946946,3162.036599741943
7,2026-07-01,2747.584703122289,2282.128085643127,3213.0413206014505
8,2026-08-01,2843.567353199935,2353.813717428178,3333.3209889716923
9,2026-09-01,2855.6974880838425,2342.796536682289,3368.598439485396
10,2026-10-01,2809.448583208809,2274.40071490145,3344.496451516168
11,2026-11-01,2895.3911104923127,2339.073281287703,3451.7089396969222
