,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2034.9592221600842,1803.925910107382,2265.9925342127863
1,2026-01-01,2117.187306619071,1847.6605841687945,2386.7140290693474
2,2026-02-01,2046.3992534059958,1763.8589728986462,2328.9395339133453
3,2026-03-01,2030.3305822210598,1742.8387517278932,2317.822412714226
4,2026-04-01,2058.6797189431018,1769.1385371804427,2348.220900705761
5,2026-05-01,2092.8679267508564,1802.4081934683554,2383.3276600333575
6,2026-06-01,2117.8570666887454,1826.9532932818813,2408.7608400956096
7,2026-07-01,2375.9328253425456,2084.7989262554424,2667.0667244296487
8,2026-08-01,2321.947260868299,2030.6852479493841,2613.209273787214
9,2026-09-01,2191.445859826791,1900.1049308915372,2482.786788762045
10,2026-10-01,2195.36758752278,1903.968638810429,2486.766536235131
11,2026-11-01,2181.1609644358746,1889.7065206335458,2472.6154082382036
