,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4678.4272337721595,4069.7818430261614,5287.072624518158
1,2026-01-01,4548.625339465792,3845.1177110421763,5252.132967889409
2,2026-02-01,4691.380037624379,3937.124546314928,5445.63552893383
3,2026-03-01,4702.1608508305,3908.713149256566,5495.608552404434
4,2026-04-01,4713.588488213314,3885.197717530357,5541.979258896271
5,2026-05-01,4889.598983703717,4028.4038061402284,5750.794161267206
6,2026-06-01,4911.391356962644,4018.817110985501,5803.965602939787
7,2026-07-01,5078.848659397541,4156.027553778718,6001.669765016364
8,2026-08-01,5090.510143585952,4138.416768306739,6042.603518865166
9,2026-09-01,5131.22857625286,4150.723605062028,6111.733547443692
10,2026-10-01,4961.786957058948,3953.619646389043,5969.954267728854
11,2026-11-01,4875.03007092766,3839.800356124698,5910.259785730622
