,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2680.5759778488928,2586.772874922909,2774.3790807748765
1,2026-01-01,2673.2527349872116,2558.3549433016974,2788.150526672726
2,2026-02-01,2659.1334439030093,2526.776287175344,2791.4906006306746
3,2026-03-01,2679.1284998564406,2531.3614894119137,2826.8955103009675
4,2026-04-01,2699.3938806036404,2537.6788229630415,2861.108938244239
5,2026-05-01,2721.391402730311,2546.8393178271995,2895.943487633422
6,2026-06-01,2748.136756424675,2561.6291136316313,2934.6443992177183
7,2026-07-01,2762.508622382061,2564.766944184439,2960.2503005796825
8,2026-08-01,2746.0158573926233,2537.6449338627754,2954.386780922471
9,2026-09-01,2769.3827091132384,2550.899043230194,2987.866374996283
10,2026-10-01,2761.8861397067403,2533.7375395508875,2990.034739862593
11,2026-11-01,2753.6378832284454,2516.217218536257,2991.058547920634
