,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3141.081791968592,2970.6534313702373,3311.5101525669465
1,2026-01-01,3166.36936716933,2904.6661562310533,3428.0725781076067
2,2026-02-01,3177.8281688883035,2852.480088078635,3503.176249697972
3,2026-03-01,3192.025292149216,2813.091232465219,3570.959351833213
4,2026-04-01,3345.9923245997957,2920.2453242383112,3771.73932496128
5,2026-05-01,3412.7538552150545,2944.8403737414615,3880.6673366886475
6,2026-06-01,3410.214370812655,2903.634542302162,3916.794199323148
7,2026-07-01,3450.2034767131945,2907.7058557161076,3992.7010977102814
8,2026-08-01,3472.704271029432,2896.523628577264,4048.8849134816005
9,2026-09-01,3485.128905962208,2877.1284086737655,4093.1294032506507
10,2026-10-01,3411.2444574250567,2773.008518334227,4049.4803965158862
11,2026-11-01,3481.4233509437154,2814.321103391723,4148.5255984957075
