,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2557.9555550002215,2261.590032981653,2854.3210770187898
1,2026-01-01,2447.72248764108,2121.9291662480996,2773.5158090340606
2,2026-02-01,2577.7856598266712,2238.087287463447,2917.4840321898955
3,2026-03-01,2645.008659950348,2294.4234417295024,2995.5938781711934
4,2026-04-01,2875.0220501837466,2514.4255626383438,3235.6185377291495
5,2026-05-01,2767.5868829239507,2397.3771472695084,3137.796618578393
6,2026-06-01,2677.639122772231,2298.0896194732804,3057.1886260711817
7,2026-07-01,2733.3069412607174,2344.6491759103737,3121.964706611061
8,2026-08-01,2624.3682925445432,2226.812573622261,3021.9240114668255
9,2026-09-01,2568.068462972808,2161.810006751609,2974.326919194007
10,2026-10-01,2568.3702589761006,2153.5916253339483,2983.148892618253
11,2026-11-01,2644.8843906286174,2221.7567817486056,3068.0119995086293
