,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2872.782567724345,2723.7590955067967,3021.8060399418932
1,2026-01-01,2964.5224237003526,2791.0043293592653,3138.04051804144
2,2026-02-01,2946.4392613966106,2760.28717051105,3132.591352282171
3,2026-03-01,2967.5422128090913,2772.057336227866,3163.0270893903166
4,2026-04-01,2984.003854274545,2780.411472625473,3187.5962359236173
5,2026-05-01,3020.200968753719,2809.081917954635,3231.3200195528025
6,2026-06-01,2990.258087220649,2771.964785936605,3208.551388504693
7,2026-07-01,2991.057737038756,2765.8505996717427,3216.264874405769
8,2026-08-01,3034.4205509790777,2802.515517924552,3266.3255840336033
9,2026-09-01,3037.0964184485742,2798.6816066651254,3275.511230232023
10,2026-10-01,2994.5292982752494,2749.7687834080853,3239.2898131424135
11,2026-11-01,2991.3754813622136,2740.4042432881884,3242.346719436239
