,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3574.6839945636507,2838.275387658263,4311.0926014690385
1,2026-01-01,3886.75883113262,3112.738681480579,4660.778980784661
2,2026-02-01,3859.8087974370283,3073.420997535759,4646.196597338298
3,2026-03-01,3795.5565165498588,3000.638945961295,4590.474087138423
4,2026-04-01,3926.85150502157,3124.1957350597604,4729.50727498338
5,2026-05-01,4167.108195030064,3356.934570262521,4977.281819797608
6,2026-06-01,4228.576762937397,3410.9853716647253,5046.168154210069
7,2026-07-01,4202.62758127296,3377.6907253986797,5027.564437147241
8,2026-08-01,4123.581020529639,3291.3610365684667,4955.8010044908115
9,2026-09-01,4144.353919867839,3304.9004203331287,4983.807419402549
10,2026-10-01,4047.98780001804,3201.31456256406,4894.66103747202
11,2026-11-01,3968.4106195212844,3114.425888877124,4822.395350165444
