,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,5345.028780134594,5211.1861511841125,5478.871409085075
1,2026-01-01,5386.64551994995,5156.90821815903,5616.382821740869
2,2026-02-01,5447.552541902956,5123.634247779242,5771.47083602667
3,2026-03-01,5422.462263444205,5005.423169432255,5839.501357456154
4,2026-04-01,5489.62819239395,4981.498694744464,5997.757690043435
5,2026-05-01,5537.304138061335,4940.75391558959,6133.85436053308
6,2026-06-01,5560.325336399385,4878.382580652426,6242.268092146344
7,2026-07-01,5575.7000775656215,4811.555733589458,6339.844421541785
8,2026-08-01,5567.079387446399,4723.95893580308,6410.199839089718
9,2026-09-01,5587.977979037491,4669.061618438091,6506.894339636892
10,2026-10-01,5575.959846719761,4584.336764998437,6567.582928441086
11,2026-11-01,5574.070281607423,4512.717310131327,6635.423253083518
