,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4466.543028686873,4025.859511306695,4907.2265460670515
1,2026-01-01,4594.3176063096125,4024.662227311915,5163.97298530731
2,2026-02-01,4574.488034504311,3933.059374440686,5215.916694567936
3,2026-03-01,4596.0990131576555,3909.6270052684595,5282.5710210468515
4,2026-04-01,4665.906248885476,3949.6061474448743,5382.206350326078
5,2026-05-01,4693.744186269838,3956.9155077093797,5430.572864830296
6,2026-06-01,4738.8717767816315,3987.432535829542,5490.311017733721
7,2026-07-01,4813.892805008654,4051.7011442940498,5576.084465723259
8,2026-08-01,4875.137493510461,4104.73957597148,5645.535411049443
9,2026-09-01,5048.52201495977,4271.5985377923835,5825.445492127156
10,2026-10-01,4988.430634128813,4206.075152335032,5770.786115922594
11,2026-11-01,4921.381782071826,4134.283001148226,5708.480562995426
