,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3274.103826068422,3026.2150027384123,3521.992649398432
1,2026-01-01,3331.0356554900013,2929.873757528058,3732.1975534519447
2,2026-02-01,3298.4288929118475,2817.033029369626,3779.824756454069
3,2026-03-01,3339.087054395582,2772.39809931737,3905.776009473794
4,2026-04-01,3348.1671502992294,2717.8158456400133,3978.5184549584455
5,2026-05-01,3537.8665054057433,2843.1492620108647,4232.583748800622
6,2026-06-01,3552.674901933535,2803.3075605634012,4302.042243303668
7,2026-07-01,3511.752881711312,2708.723868297898,4314.781895124725
8,2026-08-01,3580.842929594146,2729.292359477505,4432.393499710787
9,2026-09-01,3474.6068249892846,2576.0259787121754,4373.187671266394
10,2026-10-01,3513.1452662105144,2570.570859795225,4455.719672625804
11,2026-11-01,3487.7463422093647,2502.759208144186,4472.733476274543
