,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2618.867623120058,2416.667492278234,2821.067753961882
1,2026-01-01,2639.897881034667,2381.079276743219,2898.716485326115
2,2026-02-01,2630.563641049283,2338.9493877759646,2922.1778943226013
3,2026-03-01,2634.3518541442086,2320.219858386846,2948.483849901571
4,2026-04-01,2715.990696133397,2384.712791660318,3047.2686006064755
5,2026-05-01,2828.6317466921682,2483.2900930792093,3173.973400305127
6,2026-06-01,2834.0077433252077,2476.4885811568392,3191.526905493576
7,2026-07-01,2819.614414080357,2451.1320971553573,3188.096731005357
8,2026-08-01,2799.1600899519212,2420.5308233912224,3177.78935651262
9,2026-09-01,2798.5361695480337,2410.3297504450015,3186.742588651066
10,2026-10-01,2807.5178821734403,2410.145439067937,3204.8903252789437
11,2026-11-01,2818.0432605343017,2411.8099316988146,3224.276589369789
