,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,13825.084646982936,11844.323525729364,15805.845768236508
1,2026-01-01,12853.08306096327,10345.835613136092,15360.330508790448
2,2026-02-01,12588.364884448207,9751.642592957523,15425.08717593889
3,2026-03-01,12316.461847296836,9225.40241927982,15407.521275313851
4,2026-04-01,12268.78334048019,8959.795913504193,15577.770767456186
5,2026-05-01,12727.704525978017,9221.671479677952,16233.737572278082
6,2026-06-01,12657.037357674073,8967.733237482273,16346.341477865873
7,2026-07-01,12755.57099488275,8893.141440886075,16618.000548879423
8,2026-08-01,12738.057265328574,8710.584072391848,16765.5304582653
9,2026-09-01,12787.872769129659,8602.128924493514,16973.616613765804
10,2026-10-01,13920.312748532622,9582.151416961104,18258.47408010414
11,2026-11-01,14123.8341794167,9638.401133034502,18609.2672257989
