,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2495.3806055064797,2341.5385157329133,2649.222695280046
1,2026-01-01,2509.7392861613157,2317.503750083066,2701.9748222395656
2,2026-02-01,2518.8142065014013,2303.359520531637,2734.2688924711656
3,2026-03-01,2503.3765533630053,2270.1043874194734,2736.6487193065373
4,2026-04-01,2486.7609850885783,2238.2007470616436,2735.321223115513
5,2026-05-01,2521.8443797283976,2259.411875562566,2784.2768838942293
6,2026-06-01,2553.764262136552,2278.382430927215,2829.1460933458893
7,2026-07-01,2610.693324228584,2323.040762339245,2898.3458861179233
8,2026-08-01,2580.0842040520515,2280.702818004531,2879.465590099572
9,2026-09-01,2604.420764939929,2293.764920472683,2915.076609407175
10,2026-10-01,2565.5534395639675,2244.0123301917206,2887.0945489362143
11,2026-11-01,2565.2518953219915,2233.157492398508,2897.346298245475
