,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4365.342713673439,4200.343746786858,4530.34168056002
1,2026-01-01,4307.490608673037,4079.1705203659144,4535.810696980159
2,2026-02-01,4337.113189382866,4064.1602487457753,4610.066130019956
3,2026-03-01,4398.057552067226,4089.838138604229,4706.2769655302245
4,2026-04-01,4459.965933120298,4122.5922034736695,4797.339662766927
5,2026-05-01,4535.648794311119,4173.502289334826,4897.795299287412
6,2026-06-01,4545.282989369448,4161.683832158803,4928.882146580093
7,2026-07-01,4585.826863331854,4183.383647124374,4988.270079539334
8,2026-08-01,4625.05477342906,4205.86922806925,5044.24031878887
9,2026-09-01,4635.633846597168,4201.4303907911335,5069.837302403202
10,2026-10-01,4621.697366947516,4173.910071881629,5069.484662013402
11,2026-11-01,4586.507475556115,4126.341153816508,5046.673797295723
