,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4527.315574937703,4377.208688041168,4677.422461834238
1,2026-01-01,4581.338251315149,4333.806398773216,4828.8701038570825
2,2026-02-01,4594.989225608002,4255.574763954995,4934.403687261009
3,2026-03-01,4591.5063540598385,4163.413400594224,5019.599307525453
4,2026-04-01,4641.680989831142,4128.329474526579,5155.032505135705
5,2026-05-01,4667.184808017983,4072.165357299878,5262.204258736088
6,2026-06-01,4673.494932134139,4000.4336573186815,5346.556206949597
7,2026-07-01,4683.166143683155,3935.618508154262,5430.713779212047
8,2026-08-01,4654.072323390663,3835.456132013654,5472.688514767672
9,2026-09-01,4635.954282947971,3749.5140111072155,5522.394554788725
10,2026-10-01,4614.9829428172825,3663.776726668555,5566.18915896601
11,2026-11-01,4600.343216921695,3587.246060223056,5613.440373620334
