,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2716.536478524685,2391.0062887508097,3042.0666682985607
1,2026-01-01,2704.4443220388057,2318.9229565594287,3089.9656875181827
2,2026-02-01,2783.3176200546154,2369.8710080037445,3196.7642321054864
3,2026-03-01,2754.9400935257154,2323.904290582963,3185.975896468468
4,2026-04-01,2735.7431457981984,2291.257825369811,3180.2284662265856
5,2026-05-01,2826.15203039722,2370.1061542763673,3282.197906518073
6,2026-06-01,2770.2746556310176,2303.62763480951,3236.9216764525254
7,2026-07-01,2830.566046065813,2353.8601422132597,3307.2719499183668
8,2026-08-01,2799.6804617415955,2313.2567141822483,3286.104209300943
9,2026-09-01,2873.0108492087593,2377.101649081538,3368.9200493359804
10,2026-10-01,2857.9623769135537,2352.72706032044,3363.1976935066673
11,2026-11-01,2855.8908213620216,2341.4247797170447,3370.3568630069985
