,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2727.933587517775,2569.5761363013794,2886.2910387341703
1,2026-01-01,2796.0138953720634,2600.5842237599604,2991.4435669841664
2,2026-02-01,2796.490751792312,2579.738268335325,3013.2432352492992
3,2026-03-01,2828.4323900918153,2595.973094697935,3060.8916854856957
4,2026-04-01,2791.7481455531693,2546.105860373059,3037.3904307332796
5,2026-05-01,2879.35881127297,2621.867025229702,3136.850597316238
6,2026-06-01,2880.2552673436626,2611.729244451067,3148.781290236258
7,2026-07-01,2958.637252085505,2679.6446674230424,3237.629836747968
8,2026-08-01,2952.7930643256695,2663.7717696999352,3241.814358951404
9,2026-09-01,2888.9444909747103,2590.256576205606,3187.6324057438146
10,2026-10-01,2930.7493861243574,2622.706994651511,3238.7917775972037
11,2026-11-01,2917.214137070482,2600.0919615523626,3234.3363125886017
