,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,5202.956690075022,4720.836284293276,5685.077095856769
1,2026-01-01,5242.722790207875,4640.304316650985,5845.1412637647645
2,2026-02-01,5258.1884226938655,4597.41182691518,5918.965018472551
3,2026-03-01,5186.672097501907,4493.854904088922,5879.489290914892
4,2026-04-01,5465.688645773599,4754.1650304936675,6177.212261053531
5,2026-05-01,5690.203007835494,4967.206673663025,6413.1993420079625
6,2026-06-01,5728.483104577577,4998.102919535431,6458.863289619723
7,2026-07-01,5912.045820596364,5176.647594985324,6647.444046207404
8,2026-08-01,5913.922913458151,5174.87774392041,6652.9680829958925
9,2026-09-01,5844.224480411982,5102.298341748516,6586.150619075448
10,2026-10-01,5750.047614575064,5005.619904886317,6494.47532426381
11,2026-11-01,5567.97225880729,4821.17168040083,6314.77283721375
