,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2903.863446284006,2739.265846824146,3068.4610457438657
1,2026-01-01,2862.361176335316,2654.8391764542116,3069.8831762164205
2,2026-02-01,2875.546590565164,2638.8706786300772,3112.222502500251
3,2026-03-01,2915.438957842772,2654.393594390588,3176.4843212949563
4,2026-04-01,2898.1441060056554,2615.2599154038403,3181.0282966074706
5,2026-05-01,2971.3668337071617,2668.340846335138,3274.3928210791855
6,2026-06-01,2951.1264797887834,2629.2538874059233,3272.9990721716435
7,2026-07-01,3008.6991800934175,2669.034944249816,3348.363415937019
8,2026-08-01,3036.9274470132586,2680.3609656342073,3393.49392839231
9,2026-09-01,3023.060253508941,2650.356642697118,3395.7638643207642
10,2026-10-01,2996.3134774681203,2608.1384319779413,3384.488522958299
11,2026-11-01,2974.7790842728946,2571.711416529026,3377.8467520167633
