,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3003.1867702117847,2878.616791359483,3127.7567490640863
1,2026-01-01,3027.1264248935117,2845.431724195543,3208.8211255914803
2,2026-02-01,3044.5062258310336,2824.427390249061,3264.5850614130063
3,2026-03-01,3029.6408714789895,2773.676303507848,3285.605439450131
4,2026-04-01,3063.1709338595365,2778.414106800773,3347.9277609183
5,2026-05-01,3105.605835953627,2792.5102597801256,3418.701412127128
6,2026-06-01,3194.9088499039217,2857.682285280585,3532.1354145272585
7,2026-07-01,3187.472534122125,2826.1615847878256,3548.7834834564246
8,2026-08-01,3204.298830800477,2821.7493124120247,3586.848349188929
9,2026-09-01,3175.6565426898524,2771.840249327118,3579.472836052587
10,2026-10-01,3162.914216911426,2739.881924792916,3585.9465090299364
11,2026-11-01,3132.7838218550864,2690.523555003263,3575.04408870691
