,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2987.951854412775,2810.411487451367,3165.492221374183
1,2026-01-01,3019.607473909109,2796.145486090048,3243.06946172817
2,2026-02-01,2991.8762902714025,2744.229622983484,3239.5229575593207
3,2026-03-01,2973.508450114332,2711.0876052803224,3235.9292949483415
4,2026-04-01,3048.546755039837,2776.149153515524,3320.94435656415
5,2026-05-01,3121.825005936545,2842.1140229639473,3401.535988909143
6,2026-06-01,3168.104038033646,2882.6473775408795,3453.560698526412
7,2026-07-01,3231.127308975063,2940.8898198395236,3521.3647981106024
8,2026-08-01,3216.8346990962414,2922.4315584250935,3511.2378397673892
9,2026-09-01,3216.0826959676806,2917.9173985505204,3514.247993384841
10,2026-10-01,3173.451845968768,2871.7950944119125,3475.1085975256233
11,2026-11-01,3114.7664798455407,2809.8031538324562,3419.7298058586252
