,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3336.3522295698,3202.738378368231,3469.9660807713685
1,2026-01-01,3364.875717668395,3180.224742232918,3549.526693103872
2,2026-02-01,3396.039877419606,3175.4949092651914,3616.5848455740206
3,2026-03-01,3399.6270278845145,3150.850215587301,3648.403840181728
4,2026-04-01,3467.9976461915303,3195.986525624293,3740.0087667587677
5,2026-05-01,3521.3019397533253,3229.6363178953457,3812.967561611305
6,2026-06-01,3557.377225616037,3248.7670055224025,3865.987445709671
7,2026-07-01,3621.424473979253,3297.9962714206163,3944.8526765378897
8,2026-08-01,3628.397269802202,3291.8621960238684,3964.932343580536
9,2026-09-01,3552.987932584823,3204.747875676578,3901.2279894930675
10,2026-10-01,3478.641652579201,3119.8606619535467,3837.4226432048554
11,2026-11-01,3466.205510046759,3097.8599606114785,3834.55105948204
