,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2770.9341421252298,2543.1167529500553,2998.751531300404
1,2026-01-01,2746.747956075125,2471.654680120658,3021.8412320295915
2,2026-02-01,2885.0940801356555,2587.050563314791,3183.13759695652
3,2026-03-01,2898.091033595598,2585.72175628128,3210.4603109099166
4,2026-04-01,3009.5133007373943,2686.522198752881,3332.5044027219074
5,2026-05-01,3095.716656786657,2763.892109614985,3427.541203958329
6,2026-06-01,3124.8589871664326,2785.1456865678574,3464.572287765008
7,2026-07-01,3179.0501709544474,2831.9902168891567,3526.110125019738
8,2026-08-01,3191.1768384314737,2837.109491517193,3545.2441853457544
9,2026-09-01,3189.6952000006004,2828.8531333305555,3550.5372666706453
10,2026-10-01,3076.374403275309,2708.931842494643,3443.8169640559745
11,2026-11-01,3066.681556827807,2692.7788510902133,3440.584262565401
