,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3177.7206103561252,2917.4394168317,3438.0018038805506
1,2026-01-01,3383.1293351654285,3066.9148153506794,3699.3438549801776
2,2026-02-01,3351.4081838074376,3003.7573254615313,3699.059042153344
3,2026-03-01,3306.779235789102,2935.879237495765,3677.679234082439
4,2026-04-01,3386.946413468684,2996.2968386490984,3777.59598828827
5,2026-05-01,3383.2832733746363,2974.6870241048114,3791.8795226444613
6,2026-06-01,3410.4839556520747,2985.0462183231984,3835.921692980951
7,2026-07-01,3365.4153129581077,2923.92288740058,3806.9077385156356
8,2026-08-01,3314.051707804631,2857.1284856018356,3770.9749300074263
9,2026-09-01,3436.4398231303917,2964.6143943269226,3908.265251933861
10,2026-10-01,3394.610634763752,2908.34738293456,3880.873886592944
11,2026-11-01,3407.7988575321033,2907.5128423156475,3908.084872748559
