,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2128.540950806768,1992.8122789999056,2264.26962261363
1,2026-01-01,2187.336135220288,2034.13609079316,2340.5361796474153
2,2026-02-01,2134.9624507553594,1975.497219017177,2294.427682493542
3,2026-03-01,2179.0251788808646,2016.147978085336,2341.902379676393
4,2026-04-01,2174.419329359311,2009.0558113489017,2339.782847369721
5,2026-05-01,2302.244817084607,2134.745369981062,2469.7442641881516
6,2026-06-01,2307.022233785696,2137.535915748273,2476.5085518231185
7,2026-07-01,2467.5314616482333,2296.1302756671926,2638.932647629274
8,2026-08-01,2380.958807900287,2207.683795898502,2554.233819902072
9,2026-09-01,2303.797204162521,2128.6765230992023,2478.91788522584
10,2026-10-01,2344.257180091776,2167.3133760217506,2521.200984161801
11,2026-11-01,2195.4563974682355,2016.70936234931,2374.203432587161
