,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3251.441594070183,3141.347240792342,3361.535947348024
1,2026-01-01,3251.053621616414,3096.901219210171,3405.2060240226574
2,2026-02-01,3279.968446252897,3093.1274049499525,3466.8094875558418
3,2026-03-01,3296.3524120245074,3082.786241625723,3509.918582423292
4,2026-04-01,3384.5940828921725,3148.1891670570885,3620.9989987272565
5,2026-05-01,3454.622868665647,3198.1850990064027,3711.060638324891
6,2026-06-01,3511.22917758307,3236.913578545181,3785.544776620959
7,2026-07-01,3543.5989994232646,3253.1306348617277,3834.0673639848014
8,2026-08-01,3503.6354648702822,3198.436653827097,3808.8342759134675
9,2026-09-01,3462.5749104913107,3143.844572335736,3781.3052486468855
10,2026-10-01,3456.4409569821983,3125.2071331790976,3787.674780785299
11,2026-11-01,3381.5262644440727,3038.6825286623434,3724.370000225802
