,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,2496.9499068083487,2249.78854380404,2744.1112698126576
1,2026-01-01,2628.2034891789413,2340.383276838455,2916.0237015194275
2,2026-02-01,2630.2050880435595,2323.787385773055,2936.622790314064
3,2026-03-01,2664.170932667923,2345.612277041505,2982.729588294341
4,2026-04-01,2797.192705158364,2468.8782214559938,3125.507188860734
5,2026-05-01,2809.4248286777806,2472.3885123371797,3146.4611450183816
6,2026-06-01,2906.44861131937,2561.21383180566,3251.6833908330796
7,2026-07-01,2961.6200007076563,2608.501344569988,3314.738656845325
8,2026-08-01,3001.2656576197564,2640.486446674734,3362.044868564779
9,2026-09-01,2907.4813769036746,2539.2213004239784,3275.7414533833708
10,2026-10-01,2795.7530318359472,2420.1676434237024,3171.338420248192
11,2026-11-01,2836.0176003049523,2453.245872368581,3218.789328241324
