,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,3067.2224954060257,2877.2628655845124,3257.182125227539
1,2026-01-01,3111.376291166963,2856.6152120555853,3366.1373702783403
2,2026-02-01,3065.8203949431186,2769.89583353173,3361.744956354507
3,2026-03-01,3059.591759404909,2734.2550937211518,3384.9284250886667
4,2026-04-01,3068.3684928740367,2720.9719575425047,3415.765028205569
5,2026-05-01,3011.59926532916,2647.1292945093583,3376.069236148962
6,2026-06-01,3081.549133012694,2703.546754794988,3459.5515112303997
7,2026-07-01,3099.7412802824797,2710.7944745942705,3488.688085970689
8,2026-08-01,3108.0925768385973,2710.1283902384744,3506.0567634387203
9,2026-09-01,3138.948335728736,2733.4187626757944,3544.4779087816773
10,2026-10-01,3127.529301684858,2715.535742819518,3539.5228605501984
11,2026-11-01,3094.0961313348735,2676.476158264723,3511.716104405024
