,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,4542.321355615468,4307.32308011596,4777.319631114976
1,2026-01-01,4644.814161141973,4312.493069892371,4977.135252391576
2,2026-02-01,4656.9013958686555,4250.940031421759,5062.862760315552
3,2026-03-01,4716.704342554139,4248.54501829805,5184.863666810227
4,2026-04-01,4827.938594146859,4304.925344088352,5350.951844205366
5,2026-05-01,4869.862306390376,4297.224784370816,5442.499828409936
6,2026-06-01,4852.278446235979,4233.9858373472325,5470.571055124725
7,2026-07-01,4855.175878217465,4194.37417033767,5515.9775860972595
8,2026-08-01,4871.756934786213,4171.019356180021,5572.494513392405
9,2026-09-01,4875.118650244419,4136.600876143092,5613.636424345746
10,2026-10-01,4796.844676807967,4022.386850602972,5571.302503012961
11,2026-11-01,4781.474289951904,3972.6712227928338,5590.277357110975
