,Date,Predicted_Mean,Lower_CI,Upper_CI
0,2025-12-01,8407.317829687247,7181.693977740262,9632.941681634231
1,2026-01-01,7965.919088440286,6463.024123896249,9468.814052984324
2,2026-02-01,7744.74389952005,6118.044857760648,9371.442941279452
3,2026-03-01,7689.994549527775,6001.391524580499,9378.59757447505
4,2026-04-01,7382.35838506688,5660.770298394395,9103.946471739366
5,2026-05-01,7155.199467023745,5415.087719208077,8895.311214839412
6,2026-06-01,6898.579405859083,5147.518535664974,8649.640276053193
7,2026-07-01,7144.762628422057,5386.8600019086625,8902.665254935451
8,2026-08-01,7193.569366826169,5431.098582677452,8956.040150974886
9,2026-09-01,7548.86852903291,5783.080791268103,9314.656266797718
10,2026-10-01,8180.166917160124,6411.708645447254,9948.625188872995
11,2026-11-01,8696.590512042874,6925.729277281987,10467.451746803761
